"zip","block_geoid"
78023,480291821062017
78023,480291821062018
78023,480291821062019
78023,480291821062020
78023,480291821062021
78023,480291821062022
78023,480291821062023
78023,480291821062024
78023,480291821062025
78023,480291821062026
78023,480291821062027
78023,480291821062042
78023,480291821062043
78023,480291821062049
78023,480291821062050
78023,480291821062051
78023,480291821062052
78023,480291821062071
78069,480291620011074
78069,480291620011076
78069,480291620032001
78069,480291620032002
78069,480291620032003
78069,480291620032004
78069,480291620032005
78069,480291620032006
78069,480291620032007
78069,480291620032008
78069,480291620032009
78069,480291620032010
78069,480291620032011
78069,480291620032012
78069,480291620032013
78069,480291620032014
78069,480291620032015
78069,480291620032016
78069,480291620032018
78069,480291620032019
78069,480291620032020
78069,480291620032022
78069,480291620032023
78069,480291620032024
78069,480291620032025
78069,480291620032026
78069,480291620032027
78069,480291620032028
78069,480291620032029
78069,480291620032030
78069,480291620032031
78069,480291620032032
78069,480291620032033
78069,480291620032034
78069,480291620032035
78069,480291620032036
78069,480291620032037
78069,480291620033005
78069,480291620033006
78069,480291620033008
78069,480291620033009
78069,480291620033010
78069,480291620033011
78069,480291620033012
78069,480291620033013
78069,480291620033014
78069,480291620033015
78069,480291620033019
78069,480291620033022
78069,480291620033023
78069,480291620042034
78069,480291620042035
78073,480291521003004
78073,480291521003007
78073,480291521003010
78073,480291521003011
78073,480291521003022
78073,480291612001017
78073,480291612001023
78073,480291612001025
78073,480291612001031
78073,480291612001032
78073,480291612001033
78073,480291612001037
78073,480291612001041
78073,480291612001042
78073,480291612001047
78073,480291612001049
78073,480291612001050
78073,480291612001054
78073,480291612001058
78073,480291612001060
78073,480291612001062
78073,480291612001063
78073,480291612001064
78073,480291612001065
78073,480291612001066
78073,480291612001067
78073,480291612001069
78073,480291612001070
78073,480291612001073
78073,480291612001074
78073,480291612001075
78073,480291612001076
78073,480291612001079
78073,480291612001080
78073,480291620011001
78073,480291620011006
78073,480291620011008
78073,480291620011010
78073,480291620011011
78073,480291620011018
78073,480291620011019
78073,480291620011020
78073,480291620011022
78073,480291620011024
78073,480291620011025
78073,480291620011026
78073,480291620011027
78073,480291620011028
78073,480291620011032
78073,480291620011033
78073,480291620011035
78073,480291620011039
78073,480291620011042
78073,480291620011044
78073,480291620011045
78073,480291620011046
78073,480291620011048
78073,480291620011049
78073,480291620011051
78073,480291620011054
78073,480291620011057
78073,480291620011058
78073,480291620011060
78073,480291620011061
78073,480291620011062
78073,480291620011063
78073,480291620011065
78073,480291620011066
78073,480291620011067
78073,480291620011068
78073,480291620011069
78073,480291620011071
78073,480291620011072
78073,480291620011073
78073,480291620011075
78073,480291620011077
78073,480291620031000
78073,480291620031001
78073,480291620031002
78073,480291620031003
78073,480291620031004
78073,480291620031005
78073,480291620031006
78073,480291620031007
78073,480291620031008
78073,480291620031009
78073,480291620031010
78073,480291620031011
78073,480291620031012
78073,480291620031013
78073,480291620031014
78073,480291620031015
78073,480291620031016
78073,480291620031017
78073,480291620031018
78073,480291620031019
78073,480291620031020
78073,480291620031021
78073,480291620031022
78073,480291620031023
78073,480291620031024
78073,480291620031025
78073,480291620031026
78073,480291620031027
78073,480291620031028
78073,480291620031029
78073,480291620031030
78073,480291620031031
78073,480291620031032
78073,480291620031033
78073,480291620031034
78073,480291620033000
78073,480291620033001
78073,480291620033002
78073,480291620033003
78073,480291620033004
78073,480291620033020
78073,480291620041007
78073,480291620041008
78073,480291620041011
78073,480291620042002
78073,480291620042003
78073,480291620042009
78073,480291620042010
78073,480291620042011
78073,480291620042012
78073,480291620042013
78073,480291620042014
78073,480291620042015
78073,480291620042045
78073,480291620042046
78101,480291318012007
78101,480291318012008
78101,480291318012009
78101,480291318022039
78101,480291318023002
78101,480291318023003
78101,480291318023004
78101,480291318023005
78101,480291318023006
78101,480291318023007
78101,480291318023008
78101,480291318023009
78101,480291318023010
78101,480291318023013
78101,480291318023014
78101,480291318023015
78101,480291318023017
78101,480291318023018
78101,480291318023019
78101,480291318023020
78101,480291318023021
78101,480291318023022
78101,480291318023023
78101,480291318023024
78101,480291419002006
78101,480291419002011
78101,480291419002012
78101,480291419002023
78101,480291419002025
78101,480291419002026
78101,480291419002027
78101,480291419002028
78101,480291419002029
78101,480291419002033
78101,480291419002034
78101,480291419002045
78109,480291215013000
78109,480291215013001
78109,480291215013002
78109,480291215013003
78109,480291215013004
78109,480291215013005
78109,480291215013006
78109,480291215013007
78109,480291215013008
78109,480291215013009
78109,480291215013010
78109,480291215013011
78109,480291215013012
78109,480291215051000
78109,480291215051001
78109,480291215051002
78109,480291215051003
78109,480291215051004
78109,480291215051005
78109,480291215051006
78109,480291215051007
78109,480291215051008
78109,480291215051009
78109,480291215051010
78109,480291215051011
78109,480291215051012
78109,480291215051013
78109,480291215051014
78109,480291215051015
78109,480291215051016
78109,480291215051017
78109,480291215051018
78109,480291215051019
78109,480291215051020
78109,480291215051021
78109,480291215051022
78109,480291215051023
78109,480291215051024
78109,480291215051025
78109,480291215051026
78109,480291215052000
78109,480291215052001
78109,480291215052002
78109,480291215052003
78109,480291215052004
78109,480291215052005
78109,480291215052006
78109,480291215052007
78109,480291215052008
78109,480291215052009
78109,480291215053000
78109,480291215053001
78109,480291215053002
78109,480291215053003
78109,480291215053004
78109,480291215053005
78109,480291215053006
78109,480291215053007
78109,480291215053008
78109,480291215053009
78109,480291215053010
78109,480291215053011
78109,480291215053012
78109,480291215053013
78109,480291215053014
78109,480291215053015
78109,480291215053016
78109,480291215053017
78109,480291215053018
78109,480291215053019
78109,480291215053020
78109,480291216013019
78109,480291216042013
78109,480291216042014
78109,480291216042015
78109,480291216042016
78109,480291216042017
78109,480291216042018
78109,480291216042019
78109,480291216042020
78109,480291216043000
78109,480291216043001
78109,480291216043002
78109,480291216043003
78109,480291216043004
78109,480291216043005
78109,480291216043006
78109,480291216043008
78109,480291216043009
78109,480291216043010
78109,480291216043011
78109,480291216043012
78109,480291216043013
78109,480291216043014
78109,480291216043015
78109,480291216043016
78109,480291216044000
78109,480291216044001
78109,480291216044002
78109,480291216044003
78109,480291216044004
78109,480291216044005
78109,480291216044006
78109,480291216044007
78109,480291216044008
78109,480291216044009
78109,480291216044010
78109,480291216044011
78109,480291216044012
78109,480291216044013
78109,480291216044014
78109,480291216044015
78109,480291216044016
78109,480291216044017
78109,480291216044018
78109,480291216044019
78109,480291216044020
78109,480291216044021
78109,480291216044022
78109,480291216052015
78109,480291216052017
